State,Year,Residential,Commercial,Industrial,Transportation,Total,Residential_share,Commercial_share,Industrial_share,Transportation_share
Utah,2018,77361.0,52076.0,124021.0,276289.0,529747.0,14.6,9.83,23.41,52.15
Utah,2019,87202.0,57845.0,122807.0,271992.0,539846.0,16.15,10.72,22.75,50.38
Virginia,2010,162683.0,91084.0,256127.0,756171.0,1266065.0,12.85,7.19,20.23,59.73
Virginia,2011,145909.0,84974.0,255311.0,731105.0,1217299.0,11.99,6.98,20.97,60.06
Virginia,2012,122876.0,82345.0,258377.0,737782.0,1201380.0,10.23,6.85,21.51,61.41
Virginia,2013,148179.0,90689.0,259046.0,736875.0,1234789.0,12.0,7.34,20.98,59.68
Virginia,2014,158001.0,98252.0,261474.0,747069.0,1264796.0,12.49,7.77,20.67,59.07
Virginia,2015,143768.0,104413.0,262737.0,738596.0,1249514.0,11.51,8.36,21.03,59.11
Virginia,2016,126115.0,102595.0,257790.0,743127.0,1229627.0,10.26,8.34,20.96,60.44
Virginia,2017,121283.0,104047.0,264495.0,752089.0,1241914.0,9.77,8.38,21.3,60.56
Virginia,2018,144322.0,112127.0,263383.0,768403.0,1288235.0,11.2,8.7,20.45,59.65
Virginia,2019,131950.0,108535.0,265358.0,778299.0,1284142.0,10.28,8.45,20.66,60.61
Vermont,2010,39256.0,10728.0,15043.0,50109.0,115136.0,34.1,9.32,13.07,43.52
Vermont,2011,38702.0,11150.0,13873.0,48735.0,112460.0,34.41,9.91,12.34,43.34
Vermont,2012,32580.0,10623.0,12952.0,47614.0,103769.0,31.4,10.24,12.48,45.88
Vermont,2013,38471.0,13605.0,11534.0,48426.0,112036.0,34.34,12.14,10.29,43.22
Vermont,2014,41373.0,14211.0,11838.0,47901.0,115323.0,35.88,12.32,10.27,41.54
Vermont,2015,47329.0,18344.0,11376.0,48392.0,125441.0,37.73,14.62,9.07,38.58
Vermont,2016,42446.0,16544.0,10714.0,48604.0,118308.0,35.88,13.98,9.06,41.08
Vermont,2017,43594.0,15359.0,11727.0,47667.0,118347.0,36.84,12.98,9.91,40.28
Vermont,2018,48637.0,17982.0,11070.0,44530.0,122219.0,39.79,14.71,9.06,36.43
Vermont,2019,49661.0,17450.0,10577.0,46294.0,123982.0,40.06,14.07,8.53,37.34
Washington,2010,117156.0,69010.0,284844.0,551696.0,1022706.0,11.46,6.75,27.85,53.94
Washington,2011,126277.0,70847.0,278920.0,566931.0,1042975.0,12.11,6.79,26.74,54.36
Washington,2012,112128.0,69475.0,289413.0,568743.0,1039759.0,10.78,6.68,27.83,54.7
Washington,2013,120419.0,72048.0,283380.0,581515.0,1057362.0,11.39,6.81,26.8,55.0
Washington,2014,117090.0,72176.0,278722.0,570496.0,1038484.0,11.28,6.95,26.84,54.94
Washington,2015,112834.0,75676.0,291850.0,609862.0,1090222.0,10.35,6.94,26.77,55.94
Washington,2016,122313.0,81133.0,299655.0,678414.0,1181515.0,10.35,6.87,25.36,57.42
Washington,2017,143150.0,87062.0,289544.0,653708.0,1173464.0,12.2,7.42,24.67,55.71
Washington,2018,134742.0,88088.0,288545.0,653178.0,1164553.0,11.57,7.56,24.78,56.09
Washington,2019,147857.0,88946.0,287291.0,673085.0,1197179.0,12.35,7.43,24.0,56.22
Wisconsin,2010,184201.0,96519.0,298478.0,435233.0,1014431.0,18.16,9.51,29.42,42.9
Wisconsin,2011,188263.0,102017.0,304034.0,420456.0,1014770.0,18.55,10.05,29.96,41.43
Wisconsin,2012,160632.0,89157.0,294394.0,418958.0,963141.0,16.68,9.26,30.57,43.5
Wisconsin,2013,205723.0,113050.0,315459.0,416071.0,1050303.0,19.59,10.76,30.04,39.61
Wisconsin,2014,218032.0,122574.0,319723.0,445798.0,1106127.0,19.71,11.08,28.9,40.3
Wisconsin,2015,195580.0,112729.0,305849.0,440629.0,1054787.0,18.54,10.69,29.0,41.77
Wisconsin,2016,187720.0,111150.0,303426.0,437594.0,1039890.0,18.05,10.69,29.18,42.08
Wisconsin,2017,191874.0,113697.0,316070.0,431283.0,1052924.0,18.22,10.8,30.02,40.96
Wisconsin,2018,216352.0,125558.0,325034.0,456951.0,1123895.0,19.25,11.17,28.92,40.66
Wisconsin,2019,231347.0,126741.0,313548.0,452198.0,1123834.0,20.59,11.28,27.9,40.24
West Virginia,2010,55517.0,31601.0,163998.0,171088.0,422204.0,13.15,7.48,38.84,40.52
West Virginia,2011,52043.0,31881.0,169671.0,165221.0,418816.0,12.43,7.61,40.51,39.45
West Virginia,2012,44906.0,29688.0,164446.0,174078.0,413118.0,10.87,7.19,39.81,42.14
West Virginia,2013,56037.0,32099.0,172325.0,168784.0,429245.0,13.05,7.48,40.15,39.32
West Virginia,2014,57344.0,32222.0,188275.0,169520.0,447361.0,12.82,7.2,42.09,37.89
West Virginia,2015,43482.0,31845.0,184005.0,173152.0,432484.0,10.05,7.36,42.55,40.04
West Virginia,2016,39812.0,31427.0,179269.0,181971.0,432479.0,9.21,7.27,41.45,42.08
West Virginia,2017,36973.0,30489.0,190884.0,171435.0,429781.0,8.6,7.09,44.41,39.89
West Virginia,2018,43954.0,34015.0,212530.0,192216.0,482715.0,9.11,7.05,44.03,39.82
West Virginia,2019,41793.0,33115.0,224129.0,183836.0,482873.0,8.66,6.86,46.42,38.07
Wyoming,2010,18228.0,16920.0,199458.0,121216.0,355822.0,5.12,4.76,56.06,34.07
Wyoming,2011,18821.0,20062.0,216571.0,111927.0,367381.0,5.12,5.46,58.95,30.47
Wyoming,2012,15861.0,17965.0,215283.0,117517.0,366626.0,4.33,4.9,58.72,32.05
Wyoming,2013,18798.0,19205.0,204235.0,113232.0,355470.0,5.29,5.4,57.45,31.85
Wyoming,2014,18476.0,19392.0,195549.0,117531.0,350948.0,5.26,5.53,55.72,33.49
Wyoming,2015,18990.0,20284.0,172527.0,111313.0,323114.0,5.88,6.28,53.4,34.45
Wyoming,2016,19396.0,20466.0,173853.0,112483.0,326198.0,5.95,6.27,53.3,34.48
Wyoming,2017,21306.0,19495.0,200227.0,112396.0,353424.0,6.03,5.52,56.65,31.8
Wyoming,2018,21743.0,18435.0,218732.0,115828.0,374738.0,5.8,4.92,58.37,30.91
Wyoming,2019,23157.0,18691.0,202015.0,115786.0,359649.0,6.44,5.2,56.17,32.19
